ID,Severity,Package,Fixed Version,Title,Description,Help URI,Tags
NSWG-ECO-428,HIGH,base64url,>=3.0.0,Out-of-bounds Read,`base64url` allocates uninitialized Buffers when number is passed in input on Node.js 4.x and below,https://hackerone.com/reports/321687,"vulnerability,security,HIGH"
GHSA-rvg8-pwq2-xj7q,MEDIUM,base64url,3.0.0,Out-of-bounds Read in base64url,"Versions of `base64url` before 3.0.0 are vulnerable to to out-of-bounds reads as it allocates uninitialized Buffers when number is passed in input on Node.js 4.x and below.


## Recommendation

Update to version 3.0.0 or later.",https://github.com/advisories/GHSA-rvg8-pwq2-xj7q,"vulnerability,security,MEDIUM"
CVE-2024-4068,HIGH,braces,3.0.3,braces: fails to limit the number of characters it can handle,"The NPM package `braces`, versions prior to 3.0.3, fails to limit the number of characters it can handle, which could lead to Memory Exhaustion. In `lib/parse.js,` if a malicious user sends ""imbalanced braces"" as input, the parsing will enter a loop, which will cause the program to start allocating heap memory without freeing it at any moment of the loop. Eventually, the JavaScript heap limit is reached, and the program will crash.",https://avd.aquasec.com/nvd/cve-2024-4068,"vulnerability,security,HIGH"
CVE-2024-47764,LOW,cookie,0.7.0,"cookie: cookie accepts cookie name, path, and domain with out of bounds characters","cookie is a basic HTTP cookie parser and serializer for HTTP servers. The cookie name could be used to set other fields of the cookie, resulting in an unexpected cookie value. A similar escape can be used for path and domain, which could be abused to alter other fields of the cookie. Upgrade to 0.7.0, which updates the validation for name, path, and domain.",https://avd.aquasec.com/nvd/cve-2024-47764,"vulnerability,security,LOW"
CVE-2023-46233,CRITICAL,crypto-js,4.2.0,"crypto-js: PBKDF2 1,000 times weaker than specified in 1993 and 1.3M times weaker than current standard","crypto-js is a JavaScript library of crypto standards. Prior to version 4.2.0, crypto-js PBKDF2 is 1,000 times weaker than originally specified in 1993, and at least 1,300,000 times weaker than current industry standard. This is because it both defaults to SHA1, a cryptographic hash algorithm considered insecure since at least 2005, and defaults to one single iteration, a 'strength' or 'difficulty' value specified at 1,000 when specified in 1993. PBKDF2 relies on iteration count as a countermeasure to preimage and collision attacks. If used to protect passwords, the impact is high. If used to generate signatures, the impact is high. Version 4.2.0 contains a patch for this issue. As a workaround, configure crypto-js to use SHA256 with at least 250,000 iterations.",https://avd.aquasec.com/nvd/cve-2023-46233,"vulnerability,security,CRITICAL"
CVE-2022-41940,MEDIUM,engine.io,"3.6.1, 6.2.1",engine.io: Specially crafted HTTP request can trigger an uncaught exception,"Engine.IO is the implementation of transport-based cross-browser/cross-device bi-directional communication layer for Socket.IO. A specially crafted HTTP request can trigger an uncaught exception on the Engine.IO server, thus killing the Node.js process. This impacts all the users of the engine.io package, including those who uses depending packages like socket.io. There is no known workaround except upgrading to a safe version. There are patches for this issue released in versions 3.6.1 and 6.2.1.",https://avd.aquasec.com/nvd/cve-2022-41940,"vulnerability,security,MEDIUM"
CVE-2020-15084,HIGH,express-jwt,6.0.0,Authorization bypass in express-jwt,"In express-jwt (NPM package) up and including version 5.3.3, the algorithms entry to be specified in the configuration is not being enforced. When algorithms is not specified in the configuration, with the combination of jwks-rsa, it may lead to authorization bypass. You are affected by this vulnerability if all of the following conditions apply: - You are using express-jwt - You do not have **algorithms** configured in your express-jwt configuration. - You are using libraries such as jwks-rsa as the **secret**. You can fix this by specifying **algorithms** in the express-jwt configuration. See linked GHSA for example. This is also fixed in version 6.0.0.",https://avd.aquasec.com/nvd/cve-2020-15084,"vulnerability,security,HIGH"
CVE-2022-33987,MEDIUM,got,"12.1.0, 11.8.5",nodejs-got: missing verification of requested URLs allows redirects to UNIX sockets,The got package before 12.1.0 (also fixed in 11.8.5) for Node.js allows a redirect to a UNIX socket.,https://avd.aquasec.com/nvd/cve-2022-33987,"vulnerability,security,MEDIUM"
CVE-2022-25881,HIGH,http-cache-semantics,4.1.1,http-cache-semantics: Regular Expression Denial of Service (ReDoS) vulnerability,"This affects versions of the package http-cache-semantics before 4.1.1. The issue can be exploited via malicious request header values sent to a server, when that server reads the cache policy from the request using this library.",https://avd.aquasec.com/nvd/cve-2022-25881,"vulnerability,security,HIGH"
CVE-2015-9235,CRITICAL,jsonwebtoken,4.2.2,nodejs-jsonwebtoken: verification step bypass with an altered token,In jsonwebtoken node module before 4.2.2 it is possible for an attacker to bypass verification when a token digitally signed with an asymmetric key (RS/ES family) of algorithms but instead the attacker send a token digitally signed with a symmetric algorithm (HS* family).,https://avd.aquasec.com/nvd/cve-2015-9235,"vulnerability,security,CRITICAL"
CVE-2022-23539,HIGH,jsonwebtoken,9.0.0,jsonwebtoken: Unrestricted key type could lead to legacy keys usagen,"Versions `<=8.5.1` of `jsonwebtoken` library could be misconfigured so that legacy, insecure key types are used for signature verification. For example, DSA keys could be used with the RS256 algorithm. You are affected if you are using an algorithm and a key type other than a combination listed in the GitHub Security Advisory as unaffected. This issue has been fixed, please update to version 9.0.0. This version validates for asymmetric key type and algorithm combinations. Please refer to the above mentioned algorithm / key type combinations for the valid secure configuration. After updating to version 9.0.0, if you still intend to continue with signing or verifying tokens using invalid key type/algorithm value combinations, you’ll need to set the `allowInvalidAsymmetricKeyTypes` option  to `true` in the `sign()` and/or `verify()` functions.",https://avd.aquasec.com/nvd/cve-2022-23539,"vulnerability,security,HIGH"
NSWG-ECO-17,HIGH,jsonwebtoken,>=4.2.2,Verification Bypass,"It is possible for an attacker to bypass verification when ""a token digitally signed with an asymetric key (RS/ES family) of algorithms but instead the attacker send a token digitally signed with a symmetric algorithm (HS* family)"" [1]",,"vulnerability,security,HIGH"
CVE-2022-23540,MEDIUM,jsonwebtoken,9.0.0,jsonwebtoken: Insecure default algorithm in jwt.verify() could lead to signature validation bypass,"In versions `<=8.5.1` of `jsonwebtoken` library, lack of algorithm definition in the `jwt.verify()` function can lead to signature validation bypass due to defaulting to the `none` algorithm for signature verification. Users are affected if you do not specify algorithms in the `jwt.verify()` function. This issue has been fixed, please update to version 9.0.0 which removes the default support for the none algorithm in the `jwt.verify()` method. There will be no impact, if you update to version 9.0.0 and you don’t need to allow for the `none` algorithm. If you need 'none' algorithm, you have to explicitly specify that in `jwt.verify()` options.",https://avd.aquasec.com/nvd/cve-2022-23540,"vulnerability,security,MEDIUM"
